Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
"About Hidden Heroes, Historic Places",,,,"The Octavia Lab has put together a storymap of the Hidden Heroes, Historic Places coloring page series. We hope that our work in highlighting less-than-well-know people and historical locations in the Los Angeles will give people a deeper understanding of how social activism and communities thrive when we work together. We have organized our subjects chronologically, as to give an arc of how things have gradually changed in our communities. 
This storymap is a work in progress and we hope that you enjoy this work. If you are interested, we also have published a coloring book of a subset of this heroes and places, available here: https://shop.lfla.org/products/hidden-heroes-historic-places. ",10,Hidden,blue,"Los Angeles, CA",34.0522,-118.2437,,,,
John Ballard,media/John Ballard -- Ballard Mountain.jpg,CC BY-NC-SA 4.21,https://drive.google.com/file/d/1If5BK8Ex6FF9Q4hkNAXqYypJyw3z8sB-/view?usp=sharing,"John Ballard (ca. 1830-1905) was a blacksmith and homesteader who settled in the Santa Monica Mountains; he and his wife were the first two African Americans to take up residence there. Ballard was born in Kentucky as an enslaved person before being freed and relocating to Los Angeles in 1859. In California, Ballard became a prominent member of Los Angeles’s African American community, helping to found the city’s first African Methodist Episcopal (AME) Church. In 2010, the name of the mountain where Ballard settled was renamed Ballard Mountain, in his honor. John Ballard is pictured here with his descendants in front of the mountain that bears his name.

Some noteworthy descendants of John Ballard include: 

Dr. Claudius Ballard. Grandson of John Ballard. Attended UC Berkeley medical school in 1913. Served in World War I as a first lieutenant in the US Army Medical Reserve Corps. Awarded the French Croix de Guerre medal for bravery.

Reginald Ballard. Great-grandson of John Ballard, Son of Dr. Claudius Ballard. During World War II, trained with the famed Tuskegee Airmen, the first African American flying unit in the United States military. Later served as a Los Angeles firefighter and challenged the department’s segregation policies.
",17,Plain,blue,Ballard Mountain,34.1110786,-118.8050682,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Ballard Mountain,,,,"In a stark reminder of racial attitudes, the name given to the area in the Santa Monica Mountains where John Ballard and his family lived was a racial slur; in fact, it was officially listed in county records and the US Geological Survey as N**head. In the 1960s, the name was changed to Negrohead. In 2010, after a two-year campaign, it became officially known as Ballard Mountain.

Ballard Mountain is a 2,031-foot volcanic peak located just outside the boundary of the Santa Monica Mountains National Recreation Area, about six miles north of Malibu. Ballard’s homestead property included a 16-by-16-foot cabin and a separate kitchen of equal size. Ballard also had a barn, chicken house, drinking well, and fences. After the Woolsey fire burned the area in November 2018, researchers were able to find artifacts from the approximate time period that Ballard lived there. ",17,Hidden,blue,,,,,,,
Jefferson Lewis Edmonds,media/JL Edmonds - City Hall.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1x2qoJYrHuHtkLis7qC1lwCJ1aOnNGhbo/view?usp=sharing,"Jefferson Lewis Edmonds (1852 – 1914) was born enslaved and once free, became a farmer, a politician, a real estate entrepreneur, political activist and founder & editor of The Liberator newspaper. The Liberator fearlessly advocated for improved social and economic conditions for the Black Angeleno community at the turn of the twentieth century. In 1912, Los Angeles City Attorney, John Shenk tacitly reinforced segregation in Los Angeles by stating that it was not extortion to charge different prices for people who were African American or white. Edmonds attacked the decision in print and used the pages of The Liberator to chronicle discrimination and hardship caused by the Shenk Rule. When John Shenk ran for mayor in 1913, Jefferson L. Edmonds, using The Liberator as his platform, urged African Americans to vote against Shenk. Shenk was ultimately defeated by a small margin. Pictured in this coloring page is Los Angeles City Hall between 1888–1928.",17,Plain,blue,Los Angeles City Hall,34.0514908,-118.2475494,,,,
Mary Foy,media/Mary Foy -- Downey Block.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1lIqT5We34oPTGF6lqnQ5IaVtzZfZAMEJ/view?usp=sharing,"Mary Foy (1862-1962) was the first woman to serve as Los Angeles city librarian (1880–1884). Born in Los Angeles, Foy trained to become an educator at the State Normal School and later taught at Los Angeles High School. A tireless advocate for women’s suffrage, Foy was a major figure in the California movement to give women the right to vote. Foy’s interest in civic and state politics included a run for Congress in 1934. Upon her death in 1962, Foy became the first and only woman to lie in state at Los Angeles City Hall. ",17,Plain,blue,Downey Block,34.0522387,-118.2433984,,,,
Downey Block,,,,"During its early years, Los Angeles’s first municipal library did not have its own dedicated library building. From 1872 to 1889, it was housed on the second floor of Downey Block, a large commercial building in Downtown Los Angeles that once stood on N. Main Street between W. Aliso and W. Temple Streets. Owned by Governor John G. Downey (1827–1894), it was one of the leading addresses for professionals in early Los Angeles. Between 1850 and 1870, Native American slave auctions were held there—an activity that was legal in California at the time. The California Act for the Government and Protection of Indians of 1850 allowed any white person to post bail for a convicted Native person and then require him or her to work for the white man until the fine was discharged. The Downey Block was torn down in 1905 and is now the location of a federal courthouse. ",17,Hidden,blue,,,,,,,
Ah-Wane-U Sharon,media/Ah-Wane-U Sharon -- Sycamore Park.jpg,CC BY-NC-SA 4.22,https://drive.google.com/file/d/1TvLyxIM5tBUp3UjMNu2f8hcXB-DEfi_A/view?usp=sharing,"Ah-Wane-U Sharon (ca. 1867-1935) was a Native American businesswoman who founded in 1924 the Wigwam Club of America in Los Angeles. Originally formed to serve the needs of disabled Native American soldiers, the Wigwam Club expanded its mission and worked to provide social services to Native families. A guiding principle of the club was to help families forge pathways into middle-class Western society while still retaining their Indigenous culture. The Wigwam Club made a lasting contribution when it established the Indian Day Pow Wow, an intertribal celebration of Native American culture that was held in Sycamore Grove Park in Highland Park. ",17,Plain,blue,Sycamore Grove Park,34.1000935,-118.2033179,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Sycamore Grove Park,,,,"The 15-acre Sycamore Grove Park, located in the Highland Park neighborhood of Los Angeles, has a storied history. At the turn of the century, the area was a red-light district notorious for its rough nightlife. A Pacific Electric Railway trolley stop made it easy for rowdy party-goers and thrill seekers to find their way to Sycamore Grove. Former city librarian Charles Lummis added to the area’s notoriety by throwing saloon-style parties at his nearby home, El Alisal. In 1905, the City of Los Angeles purchased the land and established one of its first municipal parks, eventually transforming Sycamore Grove into a popular family-friendly recreational spot with a bandshell and well-maintained lawns. Sycamore Grove Park frequently hosted annual State Picnics and other community events. The park still has its namesake sycamore trees and now includes children’s play areas, tennis courts, outdoor gym equipment, and the historic Sousa-Hiner Bandshell. 
",17,Hidden,blue,,,,,,,
Manuela Garcia,media/Manuela C. García -- Bunker Hill.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1QC7DRRyNX4uoVsWHMXUn48m-OBFphP01/view?usp=sharing,"Manuela García (1867-1931) was a Los Angeles singer who knew a vast repertoire of nineteenth-century Spanish-language songs. In 1904 and 1905, she recorded about more than a hundred of them on wax cylinders for Charles Fletcher Lummis (Los Angeles city librarian from 1905 to 1910), who was spearheading a project to document Southwest culture. Lummis recorded some 300 Mexican folk songs and in 1923 published them in a collection titled Spanish Songs of Old California. García provided Lummis with a cultural treasure trove: in addition to the songs she sang for his recordings, she also gave him a notebook with the lyrics to 149 songs.",17,Plain,blue,Downtown Los Angeles,34.0485582,-118.2532873,,,,
Downtown Los Angeles,,,,"According to Ancestry.com (available in the Los Angeles Public Library online research portal), Manuela García’s family lived at least four different addresses in what is now Downtown Los Angeles. She first appears in the official record in the 1870 census, living on Los Angeles Street, in what is now Little Tokyo. Her next residence was on Olive Street, close to where the Staples Center is now. She registered to vote in 1920, the year the 19th amendment granted women the right to vote, listing her residence as 17th Street and Grand Avenue. The area where García lived has undergone multiple transformations—from the establishment of Central Park in 1866 (now called Pershing Square), to the addition of rail service and then streetcars into the area, the creation of the Los Angeles Public Library, and other milestones of a growing city center. ",17,Hidden,blue,,,,,,,
